symbol,name
NIFTY 50.NS,NIFTY 50
SHRIRAMFIN.NS,SHRIRAMFIN
BAJFINANCE.NS,BAJFINANCE
JSWSTEEL.NS,JSWSTEEL
AXISBANK.NS,AXISBANK
MARUTI.NS,MARUTI
INDUSINDBK.NS,INDUSINDBK
HEROMOTOCO.NS,HEROMOTOCO
BAJAJFINSV.NS,BAJAJFINSV
DRREDDY.NS,DRREDDY
M&M.NS,M&M
ETERNAL.NS,ETERNAL
TATASTEEL.NS,TATASTEEL
HINDALCO.NS,HINDALCO
TRENT.NS,TRENT
EICHERMOT.NS,EICHERMOT
TITAN.NS,TITAN
KOTAKBANK.NS,KOTAKBANK
HDFCBANK.NS,HDFCBANK
ADANIENT.NS,ADANIENT
NTPC.NS,NTPC
BAJAJ-AUTO.NS,BAJAJ-AUTO
COALINDIA.NS,COALINDIA
ONGC.NS,ONGC
CIPLA.NS,CIPLA
APOLLOHOSP.NS,APOLLOHOSP
JIOFIN.NS,JIOFIN
INFY.NS,INFY
ADANIPORTS.NS,ADANIPORTS
SBIN.NS,SBIN
ULTRACEMCO.NS,ULTRACEMCO
TECHM.NS,TECHM
GRASIM.NS,GRASIM
HINDUNILVR.NS,HINDUNILVR
TCS.NS,TCS
NESTLEIND.NS,NESTLEIND
ITC.NS,ITC
POWERGRID.NS,POWERGRID
ICICIBANK.NS,ICICIBANK
HCLTECH.NS,HCLTECH
LT.NS,LT
TATACONSUM.NS,TATACONSUM
WIPRO.NS,WIPRO
TATAMOTORS.NS,TATAMOTORS
SBILIFE.NS,SBILIFE
ASIANPAINT.NS,ASIANPAINT
RELIANCE.NS,RELIANCE
SUNPHARMA.NS,SUNPHARMA
BHARTIARTL.NS,BHARTIARTL
BEL.NS,BEL
HDFCLIFE.NS,HDFCLIFE
